year,RCP2.6,RCP4.5,RCP6.0*,RCP8.5
2000,7.88,7.88,7.88,7.88
2010,9.88,9.52,9.39,9.97
2020,10.26,10.21,9.36,12.44
2030,7.95,11.17,9.44,14.55
2040,5.02,11.54,10.84,17.43
2050,3.39,11.28,12.58,20.78
2060,2.03,9.59,14.57,24.10
2070,0.65,7.22,16.48,26.37
2080,0.12,4.19,17.52,27.72
2090,-0.27,4.22,14.56,28.53
2100,-0.42,4.25,13.93,28.82
