year,RCP2.6,RCP4.5,RCP6.0*,RCP8.5
2000,300.14,300.55,300.41,300.44
2010,329.83,309.36,322.52,369.67
2020,253.03,324.98,310.14,438.83
2030,233.38,331.84,325.16,498.94
2040,224.02,333.95,343.49,586.05
2050,189.29,331.32,355.04,676.79
2060,166.46,317.59,363.93,745.15
2070,161.30,300.75,359.93,780.08
2080,155.07,280.79,339.91,821.35
2090,148.43,273.42,270.00,870.71
2100,142.05,266.05,245.96,887.56
